"cliente","documento","pagado","importe"
23955,"D34610384",0,1785
23955,"A19320091",1,2252
23955,"E54837036",0,418
23955,"J90185058",0,329
23955,"T73000376",1,731
23955,"Q63080614",1,862
23955,"J11484857",0,95
23955,"I11340136",1,1632
23955,"Y63400453",0,1617
23955,"P38290149",1,1516
23955,"L97525558",0,2279
23955,"W80621993",0,2144
23955,"E52866833",0,108
23955,"O64415026",0,218
23955,"D30839996",1,416
23955,"E25076173",1,1535
76645,"T82074751",0,1522
76645,"J91584206",1,841
76645,"O35029701",0,773
76645,"Y51409400",0,948
76645,"F42767790",1,2027
76645,"V62291649",1,575
76645,"T97459873",1,294
76645,"W02272311",1,512
76645,"L29915041",0,879
76645,"L04297970",0,857
76645,"P21278833",0,214
76645,"K70346266",0,1534
76645,"O77708031",1,1673
76645,"L00671954",1,1636
59553,"H49693004",0,1446
59553,"W22418153",0,1771
59553,"Y40441339",1,394
59553,"G77403563",1,1851
75729,"N09160306",1,1837
75729,"N52481276",0,167
75729,"Q62714392",0,1909
75729,"T39525651",1,602
75729,"P94086330",1,1704
85224,"N73346521",0,1834
85224,"Q38287517",0,422
85224,"E96361912",1,1134
85224,"P15098897",1,597
85224,"Q93796704",1,1145
85224,"V20522306",0,340
85224,"Z34980263",0,1195
85224,"B53747395",1,1375
85224,"W54016530",1,990
85224,"P39943153",1,1632
85224,"R23800533",1,1913
85224,"A99694153",0,61
85224,"H62248779",0,1296
85224,"W63286692",0,1654
85224,"T00385342",0,794
85224,"Y73192023",1,1347
85224,"X53544958",1,43
52072,"P16531546",0,265
52072,"U49354434",0,663
52072,"W63361785",1,1219
52072,"E58147056",1,527
19173,"A43333826",1,151
19173,"A89317432",1,1332
19173,"J33605086",0,538
19173,"N89300813",0,1454
19173,"B14868660",1,1560
19173,"K89544297",1,1570
19173,"M90569420",0,987
19173,"J94586972",0,1893
19173,"N05218447",1,1734
19173,"L18061803",0,809
19173,"I20287172",1,2247
19173,"K98717700",1,204
19173,"X18642802",0,968
19173,"A92213836",0,879
19173,"N29544090",0,49
19173,"G25345769",1,108
19173,"W70392890",1,1829
26776,"O36643508",1,1401
26776,"Q91553268",0,1787
26776,"E44581103",0,630
26776,"V91770202",1,241
26776,"C90762620",1,1104
26776,"X59682417",0,82
26776,"D73937144",1,1517
26776,"X25606510",0,490
26776,"I38962401",0,1098
26776,"B41525697",0,1136
26776,"N44868563",0,968
26776,"V32163007",0,1624
26776,"M60689470",1,851
26776,"J60817351",1,832
26776,"Y37610784",1,16
26776,"Q72302947",0,2216
26776,"M61529962",0,2234
26776,"N40685217",1,1727
26776,"A51806893",1,2141
12969,"M10841284",0,1462
12969,"S19728328",1,1271
12969,"I33750903",0,2348
12969,"Z79822434",1,1427
12969,"F30400779",0,931
12969,"L23783539",0,2038
12969,"D10129235",0,1181
12969,"A58844986",1,944
12969,"L69557169",1,1336
31182,"H02864371",0,865
31182,"S70991109",0,551
31182,"T11668371",1,1542
31182,"D22141740",1,773
80144,"O78380948",0,904
80144,"J38059752",0,819
80144,"C74904392",1,73
80144,"P52857248",1,2081
80144,"X97256363",0,416
80144,"J47495688",1,2000
80144,"D44128350",1,1671
80144,"R41121978",1,131
80144,"I55798865",1,2218
80144,"A75075539",1,109
80144,"D76842920",1,1944
80144,"A95145200",0,1833
80144,"F33453352",0,2135
80144,"Y06290239",0,1481
80144,"P42171719",1,1932
80144,"A36382982",1,563
49032,"D18517638",1,684
49032,"Y43731975",0,1441
49032,"A15651570",1,725
49032,"R54336800",0,1499
49032,"Y35217321",0,473
49032,"B47270833",1,442
49032,"L75776514",0,1571
49032,"K14685797",0,1041
49032,"H47544415",0,938
49032,"Z63732457",0,1285
49032,"T62757138",0,305
49032,"B88452857",0,699
49032,"Z59774218",0,1902
49032,"M87040221",1,336
49032,"V94554251",1,2079
43185,"X08164233",1,927
43185,"L28183647",0,2010
43185,"K44959461",1,1397
43185,"W00210184",0,1119
43185,"X39339417",0,979
43185,"G54004781",1,161
43185,"M32863097",0,827
43185,"D66503957",1,1805
43185,"O08767455",1,380
43185,"D16103608",0,1924
43185,"J83352101",1,400
43185,"Q61592540",1,484
43185,"E24145459",0,1235
43185,"Q43818855",0,191
43185,"O29694601",1,1271
43185,"L63610390",1,1836
16260,"B50500314",1,1508
16260,"N16679128",0,342
16260,"K44831340",0,2228
16260,"H10331349",0,1266
16260,"A54100390",1,787
16260,"V81890787",1,1288
16260,"G52206457",0,213
16260,"E05783725",1,2222
16260,"L52111116",0,2321
16260,"N76109106",0,145
16260,"Q41842732",1,429
16260,"O15977598",1,68
53118,"K07811356",1,2048
53118,"T25845581",0,643
53118,"J12829211",0,1545
53118,"W75409014",1,737
53118,"G91634900",1,1333
53118,"P29287427",0,489
53118,"T85390573",0,1231
53118,"I50434334",1,1984
53118,"A48981817",1,1514
75417,"E85827269",0,1574
75417,"U17536368",1,1597
75417,"T40615194",0,893
75417,"B14806136",1,527
75417,"D07431253",0,1044
75417,"P65959764",0,1123
75417,"Z00684415",0,2141
75417,"W89067151",1,1609
75417,"J26956878",1,256
11473,"Y98487208",1,419
11473,"B92585220",1,1048
11473,"A49822108",1,117
11473,"H00207195",0,2336
11473,"I36050246",0,982
11473,"W78209077",1,78
11473,"G12520999",0,936
11473,"X68924408",0,2323
11473,"M93325478",0,2009
11473,"E97019630",1,1386
11473,"H25881817",0,1667
